filename,edge_consistency
Bicycle_2015_00005,0.13639599124594295
Bicycle_2015_00012,0.17055956343565684
Bicycle_2015_00028,0.1797973161624851
Bicycle_2015_00034,0.22325428316909843
Bicycle_2015_00080,0.14601586313111758
Bicycle_2015_00088,0.2313885875906888
Bicycle_2015_00100,0.1560243774662849
Bicycle_2015_00106,0.16389295017417954
Bicycle_2015_00110,0.14165503651714811
Bicycle_2015_00131,0.19664339234684838
Bicycle_2015_00136,0.19414851955379658
Bicycle_2015_00141,0.16158182012321134
Bicycle_2015_00150,0.13942492105547794
Bicycle_2015_00154,0.09175913219617926
Bicycle_2015_00158,0.1992410622752905
Bicycle_2015_00180,0.13117709783894016
Bicycle_2015_00213,0.08910132339512519
Bicycle_2015_00224,0.20988625654208512
Bicycle_2015_00227,0.17136538245000987
Bicycle_2015_00238,0.14930699139823486
Bicycle_2015_00246,0.25859457757266097
Bicycle_2015_00260,0.26684826586473875
Bicycle_2015_00267,0.22754808160800571
Bicycle_2015_00284,0.09565368180065945
Bicycle_2015_00287,0.2129484930837282
Bicycle_2015_00293,0.27493668178050396
Bicycle_2015_00294,0.18218498392129864
Bicycle_2015_00328,0.13425938296988454
Bicycle_2015_00337,0.2021221228229277
Bicycle_2015_00343,0.18462845298513897
Bicycle_2015_00347,0.1789815680823862
Bicycle_2015_00350,0.18594231049816326
Bicycle_2015_00369,0.28910371104740246
Bicycle_2015_00375,0.20116503246616602
Bicycle_2015_00376,0.17328283591562668
Bicycle_2015_00380,0.19007242327430302
Bicycle_2015_00382,0.22582106393246412
Bicycle_2015_00387,0.25901416967929214
Bicycle_2015_00462,0.14454556000012386
Bicycle_2015_00463,0.25872357970652116
Bicycle_2015_00467,0.05733455677314688
Bicycle_2015_00490,0.11310701348200305
Bicycle_2015_00502,0.26543176889108
Bicycle_2015_00517,0.29817785589811413
Bicycle_2015_00530,0.265198854951126
Bicycle_2015_00532,0.07569329426719869
Bicycle_2015_00537,0.1962028241344443
Bicycle_2015_00541,0.2800477892200052
Bicycle_2015_00553,0.1664567272838037
Bicycle_2015_00595,0.1519547268582258
Bicycle_2015_00619,0.1683441846290782
Bicycle_2015_00626,0.2897429858020466
Bicycle_2015_00627,0.17354332436961264
Bicycle_2015_00634,0.013008986371016653
Bicycle_2015_00642,0.08274357033092741
Bicycle_2015_00644,0.11359126796004071
Bicycle_2015_00649,0.14715567667562046
Boat_2015_00655,0.12385612678435348
Boat_2015_00664,0.15844896245300627
Boat_2015_00677,0.051999652032574145
Boat_2015_00702,0.17107895601193993
Boat_2015_00728,0.20950756195764203
Boat_2015_00732,0.1483201026388952
Boat_2015_00735,0.27616659495776597
Boat_2015_00739,0.18378266651000275
Boat_2015_00748,0.12849448278754674
Boat_2015_00755,0.0423299685229843
Boat_2015_00761,0.07082688667280798
Boat_2015_00768,0.2131691381148171
Boat_2015_00772,0.01303807366063684
Boat_2015_00779,0.10426903670698442
Boat_2015_00782,0.2538816765638514
Boat_2015_00811,0.18321014595054058
Boat_2015_00909,0.18572412118821224
Boat_2015_00930,0.10791252668233377
Boat_2015_00942,0.18347047643161657
Boat_2015_00961,0.07594812977714305
Boat_2015_00964,0.12411132815589779
Boat_2015_00969,0.19753910520298798
Boat_2015_00971,0.2366315430069764
Boat_2015_00975,0.12257303568404872
Boat_2015_00997,0.153102495712231
Boat_2015_01006,0.09286251053695546
Boat_2015_01008,0.40261589971227446
Boat_2015_01034,0.3228974364164459
Boat_2015_01055,0.23885341626144005
Boat_2015_01071,0.10004473426115428
Boat_2015_01083,0.1440430410916691
Boat_2015_01088,0.23377077494635107
Boat_2015_01097,0.24598796111048496
Boat_2015_01116,0.20659510917461635
Boat_2015_01118,0.2850426170852465
Boat_2015_01120,0.10152749961045879
Boat_2015_01124,0.2549086389099286
Boat_2015_01148,0.1260850510341328
Boat_2015_01212,0.296798081412141
Boat_2015_01220,0.13975984910809877
Boat_2015_01229,0.327754490484448
Boat_2015_01247,0.10170468348387646
Boat_2015_01258,0.18984955929440006
Boat_2015_01259,0.09561243748421187
Boat_2015_01289,0.14114125835839947
Boat_2015_01290,0.16411439694108615
Boat_2015_01291,0.26035227940713845
Boat_2015_01322,0.17259626988173263
Boat_2015_01331,0.28573046775348426
Bottle_2015_01333,0.16513146711875148
Bottle_2015_01334,0.17979477523343534
Bottle_2015_01359,0.14646251080973663
Bottle_2015_01368,0.18275244926902445
Bottle_2015_01402,0.2407117849405056
Bottle_2015_01428,0.17905519508661727
Bottle_2015_01435,0.17470619822088607
Bottle_2015_01436,0.08422681123731167
Bottle_2015_01439,0.18301610637500243
Bottle_2015_01442,0.11664133996617439
Bottle_2015_01456,0.0
Bottle_2015_01470,0.21208795706978148
Bottle_2015_01483,0.19113264634329202
Bottle_2015_01487,0.24129372502995192
Bottle_2015_01497,0.12625740937681915
Bottle_2015_01499,0.2551186546494335
Bottle_2015_01512,0.23997091332655401
Bottle_2015_01519,0.18528929249800827
Bottle_2015_01520,0.276359774278207
Bottle_2015_01523,0.1783910769538998
Bottle_2015_01524,0.15599563235787964
Bottle_2015_01538,0.32015235886662213
Bottle_2015_01551,0.32918804354876213
Bottle_2015_01577,0.27106422008395104
Bottle_2015_01583,0.06713312799991616
Bottle_2015_01586,0.093921492508319
Bottle_2015_01589,0.3390539963832101
Bottle_2015_01592,0.08477477823536285
Bottle_2015_01597,0.26497853708883595
Bottle_2015_01624,0.14441060095895775
Bottle_2015_01636,0.0
Bottle_2015_01658,0.14374298134661445
Bottle_2015_01660,0.2399008202335673
Bottle_2015_01673,0.1466699731210992
Bottle_2015_01793,0.13601789802613942
Bottle_2015_01828,0.28488442793497076
Bottle_2015_01839,0.23941061806771394
Bottle_2015_01842,0.14714479647810202
