filename,clip_score
Bicycle_2015_00005.png,30.40096163749695
Bicycle_2015_00012.png,30.2899032831192
Bicycle_2015_00028.png,26.59790813922882
Bicycle_2015_00034.png,33.22541415691376
Bicycle_2015_00080.png,27.0130455493927
Bicycle_2015_00088.png,33.371907472610474
Bicycle_2015_00100.png,29.766517877578735
Bicycle_2015_00106.png,32.351452112197876
Bicycle_2015_00110.png,23.55951964855194
Bicycle_2015_00131.png,31.288808584213257
Bicycle_2015_00136.png,32.226404547691345
Bicycle_2015_00141.png,29.18846607208252
Bicycle_2015_00150.png,26.097962260246277
Bicycle_2015_00154.png,28.20116877555847
Bicycle_2015_00158.png,34.16518568992615
Bicycle_2015_00180.png,32.874083518981934
Bicycle_2015_00213.png,32.948362827301025
Bicycle_2015_00224.png,34.787172079086304
Bicycle_2015_00227.png,24.854303896427155
Bicycle_2015_00238.png,27.90665626525879
Bicycle_2015_00246.png,30.395281314849854
Bicycle_2015_00260.png,25.799190998077393
Bicycle_2015_00267.png,30.797749757766724
Bicycle_2015_00284.png,33.109456300735474
Bicycle_2015_00287.png,23.14816564321518
Bicycle_2015_00293.png,32.95742869377136
Bicycle_2015_00294.png,29.592281579971313
Bicycle_2015_00328.png,27.029472589492798
Bicycle_2015_00330.png,27.769726514816284
Bicycle_2015_00337.png,23.963341116905212
Bicycle_2015_00342.png,30.97652494907379
Bicycle_2015_00343.png,29.753094911575317
Bicycle_2015_00347.png,25.919049978256226
Bicycle_2015_00350.png,26.406332850456238
Bicycle_2015_00369.png,23.97219091653824
Bicycle_2015_00375.png,30.42694330215454
Bicycle_2015_00376.png,23.248252272605896
Bicycle_2015_00380.png,26.22157335281372
Bicycle_2015_00382.png,29.64003086090088
Bicycle_2015_00387.png,26.26950740814209
Bicycle_2015_00462.png,28.517335653305054
Bicycle_2015_00463.png,31.29609525203705
Bicycle_2015_00467.png,27.68915593624115
Bicycle_2015_00490.png,26.7730712890625
Bicycle_2015_00502.png,29.445135593414307
Bicycle_2015_00515.png,32.031312584877014
Bicycle_2015_00517.png,27.67799198627472
Bicycle_2015_00530.png,33.50241184234619
Bicycle_2015_00532.png,34.43673253059387
Bicycle_2015_00537.png,34.63695049285889
Bicycle_2015_00541.png,26.28962993621826
Bicycle_2015_00553.png,31.271463632583618
Bicycle_2015_00595.png,27.412277460098267
Bicycle_2015_00619.png,31.45294189453125
Bicycle_2015_00626.png,36.80655360221863
Bicycle_2015_00627.png,29.128551483154297
Bicycle_2015_00634.png,31.931114196777344
Bicycle_2015_00642.png,29.663565754890442
Bicycle_2015_00644.png,26.93352699279785
Bicycle_2015_00649.png,28.087711334228516
Boat_2015_00655.png,36.59931421279907
Boat_2015_00664.png,34.99523103237152
Boat_2015_00677.png,29.33812141418457
