filename,niqe
Bicycle_2015_00005.png,4.6247392397511335
Bicycle_2015_00028.png,2.546455544204612
Bicycle_2015_00034.png,3.7777683664303257
Bicycle_2015_00080.png,2.9068686706290983
Bicycle_2015_00088.png,3.6910108283168266
Bicycle_2015_00100.png,4.425204988114703
Bicycle_2015_00106.png,3.5790322598832995
Bicycle_2015_00110.png,3.631785075512067
Bicycle_2015_00131.png,1.9134428519172115
Bicycle_2015_00136.png,3.8273706342900655
Bicycle_2015_00141.png,4.883070744590534
Bicycle_2015_00150.png,1.8655033978370295
Bicycle_2015_00154.png,2.7781879167865293
Bicycle_2015_00158.png,2.9679765509868927
Bicycle_2015_00180.png,3.660934846086753
Bicycle_2015_00213.png,3.4317996554880272
Bicycle_2015_00224.png,4.8006274771859205
Bicycle_2015_00227.png,4.1604267347843304
Bicycle_2015_00238.png,5.1725689323284865
Bicycle_2015_00246.png,2.358360852854942
Bicycle_2015_00260.png,3.036308779365675
Bicycle_2015_00267.png,2.8662489980639942
Bicycle_2015_00284.png,6.457736123763412
Bicycle_2015_00287.png,2.8731571461997363
Bicycle_2015_00293.png,3.6913943803742373
Bicycle_2015_00294.png,3.696905468703164
Bicycle_2015_00328.png,3.3986146583226162
Bicycle_2015_00330.png,4.378103022841347
Bicycle_2015_00337.png,2.6547331082818633
Bicycle_2015_00342.png,2.8044169638980185
Bicycle_2015_00343.png,4.559708217224677
Bicycle_2015_00347.png,5.128885903952804
Bicycle_2015_00350.png,3.802364149323327
Bicycle_2015_00369.png,3.612211986758113
Bicycle_2015_00375.png,8.924723551352088
Bicycle_2015_00376.png,2.9554109375229585
Bicycle_2015_00380.png,3.113245053405529
Bicycle_2015_00382.png,3.8619856956393277
Bicycle_2015_00387.png,6.404479332391943
Bicycle_2015_00462.png,4.683634375839367
Bicycle_2015_00463.png,5.7977374157051935
Bicycle_2015_00467.png,4.946853168473436
Bicycle_2015_00490.png,4.546789219751251
Bicycle_2015_00502.png,3.676753561310092
Bicycle_2015_00515.png,5.18834708066105
Bicycle_2015_00517.png,2.725640056229452
Bicycle_2015_00530.png,3.8185699852555164
Bicycle_2015_00532.png,2.662555619570755
Bicycle_2015_00537.png,3.088605379722996
Bicycle_2015_00541.png,2.514672993816118
Bicycle_2015_00553.png,3.8687660363448493
Bicycle_2015_00595.png,3.844739071450179
Bicycle_2015_00619.png,3.7526833787723346
Bicycle_2015_00626.png,3.452467364870879
Bicycle_2015_00627.png,3.0575961081483016
Bicycle_2015_00634.png,3.7892617551988153
Bicycle_2015_00642.png,3.378411135903081
Bicycle_2015_00644.png,3.054352271778488
Bicycle_2015_00649.png,4.708563592719887
Boat_2015_00655.png,4.620768806567343
Boat_2015_00664.png,3.818336752505864
Boat_2015_00677.png,2.9064188916649294
Boat_2015_00702.png,4.803214300045021
Boat_2015_00728.png,2.461921559169852
Boat_2015_00732.png,3.032662149838697
Boat_2015_00735.png,4.05715426806118
Boat_2015_00739.png,2.7073422644671226
Boat_2015_00748.png,3.736503642434188
Boat_2015_00755.png,3.42740377082914
Boat_2015_00761.png,4.819769591352142
Boat_2015_00768.png,4.092361857831484
Boat_2015_00771.png,3.472392919710668
Boat_2015_00772.png,3.790859688662523
Boat_2015_00779.png,5.131203381496142
Boat_2015_00782.png,5.887392753782143
Boat_2015_00794.png,5.119303469000309
Boat_2015_00811.png,6.291376198762912
Boat_2015_00831.png,4.790845765424757
Boat_2015_00909.png,3.0374933583858956
Boat_2015_00930.png,2.9183687023716605
Boat_2015_00942.png,3.271057303306573
Boat_2015_00961.png,3.4312392478101397
Boat_2015_00964.png,3.69787855189081
Boat_2015_00969.png,3.7321857626546993
Boat_2015_00971.png,3.5226262418272247
Boat_2015_00975.png,4.901565723456336
Boat_2015_00997.png,8.299284142190533
Boat_2015_01006.png,5.249779526024215
Boat_2015_01008.png,4.122354870937207
Boat_2015_01034.png,4.604304594640305
Boat_2015_01055.png,4.637791438821834
Boat_2015_01071.png,4.524151752727389
Boat_2015_01083.png,4.4517714903125825
Boat_2015_01088.png,4.460464109018214
Boat_2015_01097.png,3.7733475254478233
Boat_2015_01116.png,9.015233264226955
Boat_2015_01118.png,3.608899487735349
Boat_2015_01120.png,7.891898229435711
Boat_2015_01124.png,4.864588127976494
Boat_2015_01148.png,4.343891190766782
Boat_2015_01212.png,6.017120286847396
Boat_2015_01220.png,2.920337197169939
Boat_2015_01229.png,3.4755456165713565
Boat_2015_01247.png,8.41898468452248
Boat_2015_01258.png,4.6526175990203305
Boat_2015_01259.png,4.416013666985528
Boat_2015_01285.png,5.644386641602019
Boat_2015_01289.png,2.537722741603008
Boat_2015_01290.png,4.273581865050441
Boat_2015_01291.png,4.480369307113759
Boat_2015_01322.png,2.073579683718234
Boat_2015_01331.png,4.07781991389384
Bottle_2015_01333.png,3.81655967131973
Bottle_2015_01334.png,3.8728096054734973
Bottle_2015_01359.png,4.657163965841674
Bottle_2015_01368.png,5.247237322029605
Bottle_2015_01402.png,5.277497159569693
Bottle_2015_01428.png,3.4704804100928994
Bottle_2015_01435.png,3.4974315841295667
Bottle_2015_01436.png,4.081391439330462
Bottle_2015_01439.png,7.597318418085328
Bottle_2015_01442.png,4.520661370498642
Bottle_2015_01456.png,3.7793218714317187
Bottle_2015_01470.png,3.044867839030567
Bottle_2015_01483.png,3.9625171893248874
Bottle_2015_01487.png,3.5559321687461583
Bottle_2015_01497.png,8.734339567210645
Bottle_2015_01499.png,3.8036883630213043
Bottle_2015_01512.png,4.252400600924272
Bottle_2015_01519.png,7.280230333359063
Bottle_2015_01520.png,3.849763684830652
Bottle_2015_01523.png,3.8332462753586625
Bottle_2015_01524.png,3.216543344208534
Bottle_2015_01538.png,3.1533129380702523
Bottle_2015_01551.png,3.8109653922545226
Bottle_2015_01577.png,6.055459367137482
Bottle_2015_01583.png,6.076472155438247
Bottle_2015_01586.png,10.727223896118478
Bottle_2015_01589.png,4.483153035345312
Bottle_2015_01590.png,4.930035596737552
Bottle_2015_01592.png,3.52982612694566
Bottle_2015_01597.png,5.381032070967876
Bottle_2015_01624.png,6.940035529531721
Bottle_2015_01636.png,7.746980121745091
Bottle_2015_01658.png,5.5232374281315435
Bottle_2015_01660.png,3.9253583977772744
Bottle_2015_01673.png,4.464306536149515
Bottle_2015_01762.png,7.98942958982753
Bottle_2015_01793.png,3.5368794513941153
Bottle_2015_01828.png,5.310089477448571
Bottle_2015_01839.png,6.911917160231511
Bottle_2015_01842.png,3.4820944840140315
Bottle_2015_01850.png,4.413069709660617
Bottle_2015_01854.png,4.388646902229082
Bottle_2015_01869.png,4.636225802968657
Bottle_2015_01877.png,3.7272932640269696
Bus_2015_01881.png,3.3112024383385683
Bus_2015_01893.png,6.113833897068119
Bus_2015_01895.png,3.3050287887721357
Bus_2015_01896.png,3.460078712627607
Bus_2015_01912.png,3.6590054580941302
Bus_2015_01930.png,7.1525869919446015
Bus_2015_01939.png,4.1823561984489395
Bus_2015_01948.png,4.4308224658672755
Bus_2015_01952.png,4.78523333225203
Bus_2015_01953.png,4.380902797081317
Bus_2015_01979.png,2.776417609577838
