filename,lpips,ssim
Bicycle_2015_00005,0.5340021848678589,0.17909751894646397
Bicycle_2015_00012,0.8880273103713989,0.24440322035055662
Bicycle_2015_00028,0.670923113822937,0.11163426055631669
Bicycle_2015_00034,0.8613142371177673,0.19066471162452414
Bicycle_2015_00080,0.7014414072036743,0.1572656453826273
Bicycle_2015_00088,0.7081751227378845,0.3286948157588821
Bicycle_2015_00100,0.6050844788551331,0.07959678017442921
Bicycle_2015_00106,0.8009857535362244,0.22473736326136018
Bicycle_2015_00110,0.7339423894882202,0.13758214100192862
Bicycle_2015_00131,0.6996238827705383,0.11497354943791815
Bicycle_2015_00136,0.6722967028617859,0.24600438470039765
Bicycle_2015_00141,0.7766555547714233,0.14742158271454697
Bicycle_2015_00150,0.6063187718391418,0.11458686626661135
Bicycle_2015_00154,0.7443602681159973,0.051624024851106946
Bicycle_2015_00158,0.6854294538497925,0.0824732125315322
Bicycle_2015_00180,0.7832092046737671,0.05798624066676713
Bicycle_2015_00213,0.718774139881134,0.17943963589324752
Bicycle_2015_00224,0.7982093095779419,0.1683232168107571
Bicycle_2015_00227,0.7121546864509583,0.14559726729323474
Bicycle_2015_00238,0.6791174411773682,0.26016788786245176
Bicycle_2015_00246,0.6178827285766602,0.24557765139252194
Bicycle_2015_00260,0.6829376816749573,0.07059561154460899
Bicycle_2015_00267,0.6516949534416199,0.12801842589283585
Bicycle_2015_00284,0.6018161773681641,0.18328620744586002
Bicycle_2015_00287,0.7091083526611328,0.1077517740143376
Bicycle_2015_00293,0.7091411352157593,0.13428108205049713
Bicycle_2015_00294,0.7239009737968445,0.20566589532001278
Bicycle_2015_00328,0.6728066802024841,0.0959074850234682
Bicycle_2015_00330,0.6740069389343262,0.0685047205229829
Bicycle_2015_00337,0.6437344551086426,0.1381265909446567
Bicycle_2015_00342,0.6576500535011292,0.13701886802888266
Bicycle_2015_00343,0.6853954195976257,0.06016490771537058
Bicycle_2015_00347,0.5384355187416077,0.19165567855808952
Bicycle_2015_00350,0.5878856778144836,0.23414817772882826
Bicycle_2015_00369,0.6256557703018188,0.1843138585118005
Bicycle_2015_00375,0.7497649192810059,0.1976053632705649
Bicycle_2015_00376,0.8800181746482849,0.0994506782395546
Bicycle_2015_00380,0.6431379914283752,0.19019736135771634
Bicycle_2015_00382,0.7059966921806335,0.05975631613225065
Bicycle_2015_00387,0.5299074053764343,0.16900499620448353
Bicycle_2015_00462,0.6608651876449585,0.3964273359144277
Bicycle_2015_00463,0.756902813911438,0.29808557359420873
Bicycle_2015_00467,0.8423604965209961,0.10704206754526611
Bicycle_2015_00490,0.7658674120903015,0.14177329792829493
Bicycle_2015_00502,0.722893238067627,0.26334465072796903
Bicycle_2015_00515,0.7070937156677246,0.24929035016187706
