filename,lpips,ssim
Bicycle_2015_00005,0.5539302229881287,0.1241906844780684
Bicycle_2015_00012,0.994104266166687,0.0764715502044536
Bicycle_2015_00028,0.6978405117988586,0.12222814064405259
Bicycle_2015_00034,0.809735894203186,0.18231685961695412
Bicycle_2015_00080,0.6708517074584961,0.08794135225990866
Bicycle_2015_00088,0.7921391129493713,0.11043224458014778
Bicycle_2015_00100,0.6535776257514954,0.0853073127471109
Bicycle_2015_00106,0.7562514543533325,0.33485279499973686
Bicycle_2015_00110,0.5316968560218811,0.19279787321731426
Bicycle_2015_00131,0.6766870617866516,0.13496769639856857
Bicycle_2015_00136,0.5839033722877502,0.22564882794631969
Bicycle_2015_00141,0.7879731059074402,0.13512234006056792
Bicycle_2015_00150,0.6226021647453308,0.14986459082655526
Bicycle_2015_00154,0.8071687817573547,0.05485515198236315
Bicycle_2015_00158,0.7276891469955444,0.06076233777613601
Bicycle_2015_00180,0.8037043213844299,0.06871941942739847
Bicycle_2015_00213,0.7184475660324097,0.19200984269532947
Bicycle_2015_00224,0.8121263980865479,0.15236720182085742
Bicycle_2015_00227,0.6436704397201538,0.19656974807582542
Bicycle_2015_00238,0.7314677834510803,0.2854198897969416
Bicycle_2015_00246,0.6695870161056519,0.15071240443763678
Bicycle_2015_00260,0.6515816450119019,0.07900992876105181
Bicycle_2015_00267,0.6449933648109436,0.11617014996401848
Bicycle_2015_00284,0.6830127835273743,0.11229640198117212
Bicycle_2015_00287,0.7114000916481018,0.12632931316327753
Bicycle_2015_00293,0.6165295839309692,0.08195027201817849
Bicycle_2015_00294,0.7138177156448364,0.16209065848717935
Bicycle_2015_00328,0.7099258899688721,0.09821136036149948
Bicycle_2015_00330,0.7158470749855042,0.026456184070001765
Bicycle_2015_00337,0.6691859364509583,0.0989768470474462
Bicycle_2015_00342,0.7573381662368774,0.09318178053112436
Bicycle_2015_00343,0.6833648085594177,0.08650530369175224
Bicycle_2015_00347,0.6070202589035034,0.11967686890415014
Bicycle_2015_00350,0.5490870475769043,0.24401475984903306
Bicycle_2015_00369,0.5991628170013428,0.1945889575976761
Bicycle_2015_00375,0.8407553434371948,0.22135338594354356
Bicycle_2015_00376,0.9048977494239807,0.08137120558780836
Bicycle_2015_00380,0.612382173538208,0.25981242250744346
Bicycle_2015_00382,0.6926804184913635,0.09654538624920228
Bicycle_2015_00387,0.5883616209030151,0.16963820773721372
Bicycle_2015_00462,0.6161047220230103,0.2983118074140851
Bicycle_2015_00463,0.6734027862548828,0.3326049050943646
Bicycle_2015_00467,0.7403441667556763,0.08307446926522946
Bicycle_2015_00490,0.6878381967544556,0.19482017084516876
Bicycle_2015_00502,0.6679854393005371,0.31224653196922486
Bicycle_2015_00515,0.7294723987579346,0.1073447649942662
Bicycle_2015_00517,0.7270413637161255,0.06244559617922091
Bicycle_2015_00530,0.5992817282676697,0.1272367606246517
Bicycle_2015_00532,0.7418434023857117,0.11719199518727845
Bicycle_2015_00537,0.8289017081260681,0.1091730667685639
Bicycle_2015_00541,0.6188445091247559,0.12381656462180768
